"Country Name","Income Level","Region","Year","CO2 emissions (metric tons per capita)","Agriculture, forestry, and fishing, value added (% of GDP)","Energy intensity level of primary energy","Land Surface Temperature","Nitrous oxide emissions","Methane emissions","Population ages 65 and above (% of total population)","Unemployment, total (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Government expenditure on education, total","Control of Corruption: Estimate","Government Effectiveness: Estimate","GDP growth (annual %)","Regulatory Quality: Estimate","Rule of Law: Estimate","Voice and Accountability: Estimate","Political Stability and Absence of Violence/Terrorism","School enrollment, primary and secondary, gender parity index","ESG_Score","ESG_Rank"
Poland,High Income,Europe & Central Asia,2016,7.895688724,2.645363033,3.82,14.0624543,0.564128283,0.768236324,16.1080683,6.159999847,4.7,77.85121951,1.39,11.27157974,0.791953325,0.684963107,2.953508842,0.914959908,0.615949392,0.844191015,0.507241964,0.992589428,84.46108008600001,27
Ireland,High Income,Europe & Central Asia,2016,8.163462657,0.944964684,1.69,11.8441311,1.972521389,3.47609594,13.38415906,8.369999886,3.6,81.65365854,1.81,13.33143044,1.687402844,1.359187126,2.006654115,1.737876177,1.493318439,1.291035175,0.847818851,1.006909966,83.198204445,28
Hungary,High Income,Europe & Central Asia,2016,4.50885432,3.890134485,3.86,18.4063739,0.564498371,0.736700945,18.47453076,5.110000134,4.7,76.06341463,1.53,9.862719536,0.099874198,0.498613775,2.201001893,0.599686682,0.433609247,0.402053922,0.654678643,0.993550003,82.47744010399998,29
Luxembourg,High Income,Europe & Central Asia,2016,15.20582045,0.214197008,2.35,14.5943115,0.618541822,0.962176172,14.21888366,6.289999962,2.8,82.68536585,1.41,8.572992325,2.091780424,1.685421586,4.978190437,1.718979716,1.750776649,1.50026691,1.419484735,1.016100049,82.32158944300001,30
Portugal,High Income,Europe & Central Asia,2016,4.722311267,2.065810984,2.78,22.8127682,0.307008352,1.107941771,20.96311119,11.06999969,3.6,81.12439024,1.36,10.64693069,0.892202318,1.17856288,2.019485396,0.840800703,1.067449689,1.157668114,0.974051416,0.969929993,81.70036433299998,31
Andorra,High Income,Europe & Central Asia,2016,6.479183882,0.521999648,4.845896739,11.3370428,0.0,0.689274893,12.93139694,7.684058763,3.2,71.94023987,2.71318913,9.990980148,1.223311424,1.853123784,3.70967807,0.86785984,1.568934083,1.176597357,1.413419366,0.992589428,80.93327722900001,32
Italy,High Income,Europe & Central Asia,2016,5.498165145,1.928373307,2.55,20.1275993,0.269184785,0.737619112,22.28083005,11.68999958,3.4,83.24390244,1.34,7.77489996,0.109893784,0.575462759,1.293462732,0.706917465,0.388858467,1.03497839,0.369415313,1.002699971,80.197126716,33
Croatia,High Income,Europe & Central Asia,2016,4.043744105,3.061436746,3.31,17.2189342,0.385688882,0.89834367,19.7813034,13.10000038,4.8,78.02195122,1.43,9.93892765,0.183709353,0.454411864,3.559359482,0.248335615,0.361451805,0.525383711,0.663769484,1.032019973,79.26534906600001,34
Montenegro,Upper Middle Income,Europe & Central Asia,2016,3.454908775,7.468238931,3.47,14.5663089,0.257109479,1.317686067,14.43174918,17.71999931,3.6,76.44146341,1.79,14.25794627,-0.053473834,0.166023627,2.949280321,0.243920729,-0.115197971,0.076071583,0.27663064,1.004649997,77.911290352,35
Costa Rica,Upper Middle Income,Latin America & Caribbean,2016,1.63390596,4.914355787,2.2,28.1868794,0.394321368,0.914016705,8.983783281,8.600000381,8.9,79.459,1.754,23.42320061,0.710135281,0.309364438,4.204323252,0.536265492,0.451842934,1.117966652,0.661428332,1.029410005,77.61795225000002,36
Bhutan,Lower Middle Income,South Asia,2016,1.240395282,14.39462373,8.3,14.122413,0.133375836,0.653541608,5.812781798,2.493000031,31.9,70.602,1.835,18.751194,1.143277049,0.555250704,8.127033538,-0.674993694,0.532755733,-0.025891906,1.123296738,1.048089981,77.31169191400004,37
Russian Federation,Upper Middle Income,Europe & Central Asia,2016,10.88744577,3.840217285,7.99,-2.3747347,0.412699257,4.33746446,13.90210927,5.559999943,7.5,71.65121951,1.762,10.98528004,-0.817593098,-0.285805225,0.193690072,-0.432721496,-0.831809402,-1.131660104,-0.946210265,0.991859972,77.02370182899999,38
San Marino,High Income,Europe & Central Asia,2016,4.161114426,0.013623873,4.845896739,19.1654694,0.485930447,1.607468924,18.54938819,7.684058763,2.1,71.94023987,2.71318913,14.25794627,-0.07192454,-0.071405694,2.344405861,-0.074645987,-0.074012627,1.191460133,0.950405359,0.992589428,76.87673578500001,39
Ukraine,Lower Middle Income,Europe & Central Asia,2016,4.480868101,11.72570091,7.79,15.9370883,0.52950057,0.736145801,16.03316368,9.350000381,9.2,71.47634146,1.466,12.35311985,-0.847185731,-0.581973433,2.440981945,-0.400204659,-0.802492976,0.001790598,-1.856479883,0.992589428,76.62574803600002,40
Bulgaria,Upper Middle Income,Europe & Central Asia,2016,5.834881981,4.053153474,5.15,18.9371651,0.568196007,1.000305579,20.87538398,7.570000172,7.7,74.81219512,1.54,9.731773376,-0.236125767,0.120276362,3.039825276,0.710182667,-0.123008624,0.402202278,0.077333264,0.976230025,76.43887259200001,41
Romania,High Income,Europe & Central Asia,2016,3.633591827,4.292247849,2.67,17.0629686,0.43802066,0.871473322,17.19318087,5.900000095,8.5,75.2097561,1.69,9.5105896,-0.152447969,-0.04023087,2.857546057,0.575496197,0.474753588,0.540918291,0.277196616,0.993669987,76.30662181200002,42
Uzbekistan,Lower Middle Income,Europe & Central Asia,2016,3.304142608,29.27665431,7.82,28.375249,0.504271867,1.521607361,4.419356217,5.199999809,18.0,70.755,2.455,23.09033012,-1.181305885,-0.579955995,5.9321508,-1.627996325,-1.12107563,-1.886788964,-0.272570699,0.986769974,76.25029727799998,43
Thailand,Upper Middle Income,East Asia & Pacific,2016,3.705013228,8.478076963,5.02,31.5630926,0.298412182,1.049895314,11.48717868,0.689999998,10.3,78.049,1.435,19.80216408,-0.428732783,0.271201015,3.435157717,0.062318526,-0.01017594,-1.023082614,-0.988581419,0.999880016,76.11299091900001,44
China,Upper Middle Income,East Asia & Pacific,2016,7.115385005,8.057287535,6.71,19.2540353,0.398014109,0.80708893,10.45679874,4.53000021,9.9,77.218,1.772,11.88547993,-0.243200898,0.377766103,6.848762205,-0.303584039,-0.309236586,-1.559570432,-0.499395043,1.010139942,75.872723903,45
Slovak Republic,High Income,Europe & Central Asia,2016,5.80025256,2.242380585,4.35,14.811345,0.377476754,0.786256455,14.73266468,9.670000076,6.1,77.16585366,1.48,9.168419838,0.180295527,0.826409996,1.943950861,0.885478973,0.619358361,0.961433291,0.721170664,1.00346005,75.77554564100001,46
Singapore,High Income,East Asia & Pacific,2016,8.221450295,0.031602822,2.66,33.6073138,1.565820737,0.706224394,9.564966886,4.079999924,2.7,82.84634146,1.2,18.51387024,2.083024263,2.197673798,3.56169799,2.177772999,1.815454125,-0.15036881,1.495758653,0.995970011,75.71295528699997,47
Belarus,Upper Middle Income,Europe & Central Asia,2016,5.822979457,6.895280624,6.18,13.2817977,1.252458055,1.77519555,15.22999842,5.840000153,3.9,73.82682927,1.733,12.1587801,-0.198352844,-0.472853124,-2.526446436,-1.079789042,-0.750816524,-1.339388609,0.142281473,0.99101001,75.451102403,48
Moldova,Upper Middle Income,Europe & Central Asia,2016,2.903838826,11.39868112,5.19,18.4682769,0.371006419,1.234309831,11.80880543,4.019999981,15.5,69.917,1.89,18.62162971,-0.956894457,-0.631148696,4.408886709,-0.123699941,-0.498135626,-0.009073544,-0.303559929,0.998650014,75.43370883300001,49
Cyprus,High Income,Europe & Central Asia,2016,6.027309716,2.143762199,2.94,30.4350043,0.292182612,0.609409465,12.99782157,12.94999981,2.9,81.056,1.36,16.40278053,0.820996881,0.956362784,6.573580202,1.049146056,0.715118289,1.046641469,0.604254723,0.994809985,73.727368785,50
Liechtenstein,High Income,Europe & Central Asia,2016,3.988407189,0.115518532,4.845896739,15.0601336,0.0,0.0,16.68860261,7.684058763,28.56492147,82.25853659,1.61,14.25794627,2.037606239,1.698881507,1.660675535,1.369299889,1.679316401,1.25035131,1.47792685,0.84750998,73.28054743,51
Spain,High Income,Europe & Central Asia,2016,5.314294581,2.824249385,2.79,23.1240409,0.436278568,0.832543437,18.82382503,19.62999916,3.3,83.32926829,1.34,9.961039543,0.601362467,1.125179887,3.037774142,1.005098581,0.990012109,1.041620493,0.413188279,1.010229945,72.975691505,52
United States,High Income,North America,2016,15.1498852,0.942644553,4.74,18.2534342,0.824677478,2.019210796,14.6723115,4.869999886,6.7,78.53902439,1.8205,13.15421009,1.368130684,1.470559239,1.667472076,1.493848562,1.608876348,1.110259891,0.402302891,0.996259987,72.52819265099998,53
Tonga,Upper Middle Income,East Asia & Pacific,2016,1.419016772,16.6176151,2.77,25.6530634,0.473005572,0.851410063,6.00714235,2.569000006,12.3,70.661,3.483,14.25794627,-0.394073576,-0.2541942,6.571000501,-0.420099258,0.31864953,0.642764986,0.91781497,0.992589428,71.93966028800001,54
Uruguay,High Income,Latin America & Caribbean,2016,1.909914148,6.696500143,2.82,24.0311143,2.366887479,6.341969432,14.81700855,7.840000153,8.4,77.571,1.945,14.72072983,1.282647491,0.530456185,1.689798164,0.690161765,0.642403901,1.16303432,1.062580466,0.992589428,71.844024731,55
Malaysia,Upper Middle Income,East Asia & Pacific,2016,7.484516849,8.462524546,4.69,28.4382084,0.421868415,1.149512186,6.074786232,3.440000057,8.1,75.289,1.978,20.93572044,0.05502791,0.864153683,4.449781398,0.672386944,0.408890367,-0.41695103,0.136824623,1.038820028,71.648859234,56
Serbia,Upper Middle Income,Europe & Central Asia,2016,6.604969132,6.811151268,5.6,17.5635085,0.603542882,1.622198564,19.59242058,15.26000023,6.0,75.68780488,1.46,8.692990303,-0.35912168,-0.0108848,3.338586765,0.034261219,-0.109247245,0.199925393,0.140153617,1.008100033,71.51192102499999,57
Sri Lanka,Lower Middle Income,South Asia,2016,1.034287615,7.261718478,1.91,30.6879203,0.119322737,0.399471785,9.336979581,4.239999771,8.2,75.331,2.068,17.72875977,-0.302074224,0.009420081,5.05362489,-0.102553025,0.125161454,-0.081050552,-0.004029535,1.011459947,70.529414657,58
Georgia,Upper Middle Income,Europe & Central Asia,2016,2.588862958,7.296573278,4.2,14.8746026,0.617034719,1.470152292,14.064957,16.60000038,10.2,73.569,2.198,12.66619968,0.746462643,0.458598971,2.90643878,0.86886698,0.357220918,0.295233637,-0.31329149,1.010259986,69.577867434,59
Israel,High Income,Middle East & North Africa,2016,7.603557613,1.448634907,2.81,33.810843,0.300725486,1.078867338,11.10050865,4.800000191,3.8,82.40731707,3.11,15.43659973,1.181322813,1.339675069,4.521680309,1.309297204,1.064818025,0.786671698,-0.794536352,1.012959957,69.12095545200003,60
Cuba,Upper Middle Income,Latin America & Caribbean,2016,2.395518544,3.938929627,1.54,29.6870905,0.320049035,1.043906509,14.40837897,2.0,5.5,77.643,1.609,14.9375658,0.16319108,-0.10614311,0.513761468,-1.343541741,-0.444831938,-1.560087204,0.685363889,0.991129994,68.81115224700001,61
"Micronesia, Fed. Sts.",Lower Middle Income,East Asia & Pacific,2016,1.546509,27.16691366,5.69,26.0173873,0.27291335,0.45485559,4.372051981,7.684058763,28.0,71.595,2.942,21.58470917,0.649291456,-0.264031202,0.900180417,-0.97568804,0.027995914,1.147596717,1.05758214,0.992589428,67.02646763800001,62
North Korea,Low Income,East Asia & Pacific,2016,1.181585649,10.77149544,4.845896739,12.5600016,0.089800509,0.683350382,10.76345951,2.755000114,20.0,72.805,1.87,14.25794627,-1.446556211,-1.623119712,1.660675535,-2.337120533,-1.668085933,-2.180276394,-0.680760682,0.992589428,67.021405203,63
Kyrgyz Republic,Lower Middle Income,Europe & Central Asia,2016,1.595525916,12.83447316,5.41,10.124194,0.302656468,0.736902709,3.895569163,7.210000038,21.2,70.95121951,3.1,16.92091942,-1.071955442,-0.910203934,4.335855917,-0.366465747,-1.035013199,-0.41864112,-0.646861911,0.994889975,66.62450666099998,64
Mauritius,Upper Middle Income,Sub-Saharan Africa,2016,3.197535651,3.097270006,2.3,26.0219655,0.189952615,1.487962145,9.816865302,6.809999943,14.5,74.39487805,1.4,19.96249962,0.136081845,1.05714941,3.862468263,1.103477597,0.710586309,0.818056881,1.013186932,1.034229994,65.699334355,65
Armenia,Upper Middle Income,Europe & Central Asia,2016,1.769117961,16.39047353,3.93,13.9414643,0.565280276,0.868856724,10.9205345,17.62000084,13.4,74.664,1.626,10.19719982,-0.637749076,-0.275093079,0.2,0.214404643,-0.143536806,-0.579242349,-0.662263811,0.992589428,65.420596699,66
Bosnia and Herzegovina,Upper Middle Income,Europe & Central Asia,2016,6.417721919,6.369381919,6.33,15.8135534,0.390693901,1.028444218,15.67393549,25.40999985,6.2,76.808,1.324,14.25794627,-0.461519122,-0.413330823,3.149807309,-0.128769919,-0.173778623,-0.131173372,-0.397838831,0.992589428,65.29083643799999,67
Nicaragua,Lower Middle Income,Latin America & Caribbean,2016,0.842041358,14.91501889,4.46,28.6876752,0.530579952,1.427400915,4.543900796,3.900000095,18.6,73.256,2.455,21.32547951,-0.877425969,-0.693790317,4.563515388,-0.518320739,-0.644824803,-0.680031598,-0.088797748,0.992589428,64.110615318,68
Peru,Upper Middle Income,Latin America & Caribbean,2016,1.826370868,6.935034617,2.57,27.6305629,0.320562453,1.033315984,7.951089235,3.74000001,15.0,75.789,2.306,17.87010002,-0.407064289,-0.226764232,3.953318715,0.478016019,-0.48007673,0.268992603,-0.201726943,0.982050002,63.62515680200001,69
Vietnam,Lower Middle Income,East Asia & Pacific,2016,2.402322986,13.81825836,4.53,28.4380789,0.262331263,0.874509158,7.23221257,1.850000024,21.6,73.938,1.938,15.60490036,-0.457354844,0.028949834,6.690009213,-0.482904017,0.083816513,-1.37337625,0.233591929,0.992589428,63.47345076500001,70
Australia,High Income,East Asia & Pacific,2016,15.91465712,2.404530092,4.54,33.8744756,2.369898739,4.893574154,15.17582989,5.710000038,3.8,82.44878049,1.752,13.80438995,1.810914397,1.561982155,2.730547992,1.893965244,1.745957136,1.353697181,1.047958016,0.925170004,63.129116896000006,71
Maldives,Upper Middle Income,South Asia,2016,3.874501357,5.675457345,2.47,25.76484716,0.022014212,0.264170543,4.1806044,6.119999886,9.0,79.872,1.913,9.805020332,-0.647783339,-0.273779392,6.338300636,-0.474551499,-0.378165781,-0.732977569,0.420992821,0.992589428,60.28917422400001,72
Greece,High Income,Europe & Central Asia,2016,6.203617147,3.515340248,3.13,21.9365611,0.414811807,0.89087103,21.09836217,23.54000092,4.4,81.38780488,1.38,8.10385704,-0.107778907,0.155969188,-0.487173294,0.144393101,0.131060317,0.668565869,-0.121599182,0.965359986,59.81829941200001,73
North Macedonia,Upper Middle Income,Europe & Central Asia,2016,3.522333131,9.172908313,3.49,17.814245,0.284681711,1.162852456,13.05141797,23.71999931,10.9,75.4,1.5,14.25794627,-0.272066146,0.002120959,2.848205194,0.392085105,-0.325061351,-0.234952182,-0.351204664,0.992589428,59.51987728800001,74
Vanuatu,Lower Middle Income,East Asia & Pacific,2016,0.63555285,21.68297779,3.71,25.3151386,0.494318864,1.730116057,3.728753116,1.776000023,27.6,69.65,3.963,14.25794627,-0.101656847,-0.908069015,4.688756366,-0.302986652,0.435380578,0.66418165,0.513113916,0.992589428,57.496860206,75
St. Vincent and the Grenadines,Upper Middle Income,Latin America & Caribbean,2016,2.453686574,6.751274131,2.74,24.9137414,0.094372564,0.660607951,9.77279698,19.11000061,16.2,74.28,2.025,20.1484108,0.694615543,0.337547511,4.149565063,0.268642038,0.454097331,0.955370128,1.018932462,1.004979968,57.11882285600001,76
Argentina,Upper Middle Income,Latin America & Caribbean,2016,4.201845776,6.26456582,3.41,23.7522927,1.065602383,2.835488759,11.22001902,8.111000061,10.9,76.308,2.241,13.35554028,-0.274941713,0.250169098,-2.080327844,-0.33751902,-0.304281622,0.493365467,0.204625502,1.020810008,56.422795316999995,77
Samoa,Lower Middle Income,East Asia & Pacific,2016,1.459541567,8.644397677,4.11,25.4394878,0.291908302,1.508192905,4.746185732,8.30700016,18.4,72.54,4.269,13.03890038,0.336210698,0.672427833,7.983862878,-0.119980812,0.903129756,0.77436769,1.197349429,1.051470041,56.20319056800001,78
Antigua and Barbuda,High Income,Latin America & Caribbean,2016,5.520957555,1.56801881,3.85,28.1362715,0.110419151,2.208383055,8.401194729,7.684058763,7.4,78.152,1.458,6.762650013,0.688038766,0.263139009,5.496459204,0.337577105,0.503302038,0.633674026,0.878607213,0.992589428,56.00916031700001,79
Belize,Upper Middle Income,Latin America & Caribbean,2016,1.769607872,7.639245074,5.75,27.6565744,0.626168962,1.30678737,4.361545006,7.0,14.5,73.399,2.394,20.50201988,-0.20044896,-0.600371897,0.113122172,-0.483711928,-0.957332134,0.570842862,0.060622137,0.977970004,55.879363612,80
Tajikistan,Lower Middle Income,Europe & Central Asia,2016,0.697968848,20.85697651,4.8,12.6228988,0.223487557,0.625765163,2.994916461,6.900000095,36.5,69.549,3.384,17.0383606,-1.148092151,-1.04100883,6.899260206,-1.102454185,-1.156920433,-1.68945837,-0.77775985,0.992589428,55.26128892300001,81
Turkiye,Upper Middle Income,Europe & Central Asia,2016,4.623460851,6.142292064,2.72,21.8750654,0.41064242,0.549991788,7.239264791,10.84000015,12.1,76.66,2.177,13.28166008,-0.174212188,0.030258318,3.323084208,0.203276694,-0.326979637,-0.607145011,-2.009063005,0.981840014,54.888115719,82
Nepal,Lower Middle Income,South Asia,2016,0.373638073,25.51787537,5.93,23.1253409,0.242272529,0.810087542,5.633328028,2.868000031,33.7,68.776,2.203,15.08896732,-0.795287371,-0.833284676,0.433113718,-0.774083197,-0.800943196,-0.251382679,-0.84681201,1.056910038,54.81206226999999,83
Indonesia,Lower Middle Income,East Asia & Pacific,2016,1.842694957,13.47874855,3.19,27.8739298,0.33874332,1.04460496,6.254861797,4.300000191,26.6,69.798,2.309,21.21980095,-0.43989563,-0.015978131,5.033069183,-0.02160693,-0.3211734,0.167968854,-0.372952431,0.995899975,54.65776955900001,84
Kazakhstan,Upper Middle Income,Europe & Central Asia,2016,11.36053552,4.556004271,6.22,15.8743288,0.56929126,2.582323184,7.149607249,4.960000038,11.0,72.41,2.77,13.8441,-0.811159253,-0.103502668,1.1,-0.151735261,-0.497540891,-1.205525756,0.008457476,1.01620996,54.41843632499999,85
Honduras,Lower Middle Income,Latin America & Caribbean,2016,1.000972673,12.04990141,4.81,27.8111517,0.32132596,0.800143938,3.635724155,6.730000019,18.6,72.588,2.536,18.00941086,-0.657360852,-0.730238914,3.892972197,-0.520941079,-1.126173615,-0.43813464,-0.433312118,0.992589428,54.27284254199999,86
Cambodia,Lower Middle Income,East Asia & Pacific,2016,0.708498844,24.74266442,4.74,33.1874778,0.280327463,1.160350839,4.378875123,0.720000029,30.3,70.224,2.512,15.11543465,-1.283803344,-0.69183284,6.933313973,-0.475072771,-1.070237637,-1.105340958,0.21103783,0.992589428,53.842972899,87
Ecuador,Upper Middle Income,Latin America & Caribbean,2016,2.421594059,9.519016728,3.16,27.3773941,0.300494203,1.661234117,6.852745979,4.599999905,14.8,76.763,2.201,12.80000019,-0.659781873,-0.352582246,-1.226383985,-0.946916282,-0.635915816,-0.247136489,-0.085357964,1.02094996,52.59992181800001,88
Colombia,Upper Middle Income,Latin America & Caribbean,2016,1.736028187,6.606412266,2.58,28.6205685,0.431487411,1.461387986,7.407812532,8.68999958,15.0,76.471,1.843,14.92718983,-0.360338539,-0.007103793,2.087382502,0.348109424,-0.248015717,0.121845424,-0.882459342,1.019840002,52.28920292500001,89
